"player_name";"POS";"mp";"raptor_total";"war_total";"Draft_Position";"Draft_Year"
"Steven Adams";"C";2113;2.135828616;5.263587097;12;2013
"Bam Adebayo";"C";2439;3.855426907;8.275218538;14;2017
"Jarrett Allen";"C";1809;4.283435127;6.460446752;22;2017
"Deandre Ayton";"C";2110;0.880769944;3.961705016;1;2018
"Mo Bamba";"C";1824;-1.529649613;1.136567678;6;2018
"Khem Birch";"C";1054;-1.956671589;0.426356354;61;2017
"Goga Bitadze";"C";729;-2.157749016;0.22195887;18;2019
"Bismack Biyombo";"C";592;-1.992826252;0.2234388;7;2011
"Tony Bradley";"C";557;1.190772074;1.097633544;28;2017
"Moses Brown";"C";345;-5.14371474;-0.426353647;61;2019
"Thomas Bryant";"C";439;-6.578615028;-0.855237863;42;2017
"Clint Capela";"C";2082;2.653629623;5.706263551;25;2014
"Wendell Carter Jr.";"C";1852;0.927057083;3.488158076;7;2018
"Nic Claxton";"C";1072;0.280106088;1.696352258;31;2019
"Dewayne Dedmon";"C";1203;-1.659701422;0.66233585;61;2013
"Gorgui Dieng";"C";381;-0.696295486;0.403733207;21;2013
"Andre Drummond";"C";1497;1.905928657;3.575293786;9;2012
"Joel Embiid";"C";2682;7.775600278;14.52112669;3;2014
"Daniel Gafford";"C";1444;-0.308744149;1.795111508;38;2019
"Luka Garza";"C";389;-2.978836093;-0.045760502;52;2021
"Rudy Gobert";"C";2317;6.886322754;11.3719467;27;2013
"Montrezl Harrell";"C";1641;2.585133218;4.45544413;32;2015
"Isaiah Hartenstein";"C";1216;2.712097123;3.413194501;43;2017
"Jaxson Hayes";"C";1481;-2.466403411;0.190815535;8;2019
"Willy Hernangomez";"C";841;-0.460344687;0.987194596;35;2015
"Al Horford";"C";2820;4.320840448;10.21464115;3;2017
"Nikola Jokic";"C";2647;14.57241082;23.90555449;41;2014
"Damian Jones";"C";1017;-2.537400572;0.110425324;30;2016
"Enes Freedom";"C";411;1.494885293;0.884087322;3;2011
"Jock Landale";"C";589;-2.051758837;0.21056351;61;2021
"Alex Len";"C";620;-5.366827126;-0.830983269;5;2013
"Mike Muscala";"C";592;5.714749771;2.563662207;44;2013
"Nerlens Noel";"C";562;-2.98452468;-0.067009825;6;2013
"Jusuf Nurkic";"C";1579;3.183739567;4.811648836;16;2014
"Mason Plumlee";"C";1793;-1.256142282;1.37007475;22;2013
"Jakob Poeltl";"C";1970;4.030058517;6.796565525;9;2016
"Kristaps Porzingis";"C";1481;1.86016684;3.503555542;4;2015
"Dwight Powell";"C";2047;0.251163867;3.138760371;45;2014
"Naz Reid";"C";1269;-1.991623438;0.496460815;61;2019
"Nick Richards";"C";367;-4.714837955;-0.369047882;42;2020
"Mitchell Robinson";"C";1848;2.89481338;5.279001482;36;2018
"Olivier Sarr";"C";421;-5.777689289;-0.649178704;61;2021
"Alperen Sengun";"C";1489;-2.308609143;0.338049;16;2021
"Day'Ron Sharpe";"C";391;1.963444793;0.940917678;29;2021
"Jericho Sims";"C";555;-0.948735732;0.507566114;58;2021
"Isaiah Stewart";"C";1816;-2.303857648;0.411063097;16;2020
"Daniel Theis";"C";1177;-2.681835785;0.062167063;61;2017
"Tristan Thompson";"C";935;-1.734958632;0.491404017;4;2011
"Karl-Anthony Towns";"C";2698;2.123757781;6.805829005;1;2015
"Myles Turner";"C";1235;1.310176674;2.557906996;11;2015
"Jonas Valanciunas";"C";2415;1.555565066;5.286671446;5;2011
"Nikola Vucevic";"C";2599;-0.260134751;3.311257912;16;2011
"Moritz Wagner";"C";960;-1.057436029;0.835990978;25;2018
"Robert Williams III";"C";2198;3.655650316;7.213416849;27;2018
"Omer Yurtseven";"C";744;-1.172732591;0.599452371;61;2021
"Cody Zeller";"C";355;-3.449201664;-0.127035212;4;2013
"Ivica Zubac";"C";1852;0.029593507;2.62695811;32;2016
