player_name,player_id,,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,3802,1892,-2.52150994,1.763502288,-0.758007652,-1.687892649,3.103440829,1.41554818,-2.51737239,2.144151407,-0.373220984,2.262658046,2.309610969,-0.046952923,-2.483956299,2.024360199,-0.459596099,-0.7286095
Steven Adams,adamsst01,2022,4392,2113,0.470639712,1.349454016,1.820093728,6.291396752,-3.165318157,3.126078595,1.68548015,0.450348467,2.135828616,5.263587097,5.140587253,0.122999845,1.373339502,1.526354478,2.89969398,-0.242429757
Bam Adebayo,adebaba01,2022,4893,2439,-0.399472963,3.721911968,3.322439005,1.775651957,3.481456391,5.257108348,0.007084622,3.848342285,3.855426907,8.275218538,6.102629373,2.172589165,0.305492197,3.410085396,3.715577593,-0.118148378
Santi Aldama,aldamsa01,2022,763,360,-2.582434628,-2.419017647,-5.001452275,-2.71325598,1.162841546,-1.550414434,-2.809477244,-1.86506546,-4.674542704,-0.354748466,-0.354748466,0,-1.64380408,-2.281016105,-3.924820185,0.357552936
LaMarcus Aldridge,aldrila01,2022,2205,1050,-0.515820828,2.245440029,1.729619202,1.093065339,-0.462139091,0.630926248,-0.241157321,1.830768233,1.589610912,2.319517969,2.319517969,0,0.290867928,0.844518946,1.135386874,-0.226049737
Nickeil Alexander-Walker,alexani01,2022,3037,1471,-1.501128711,-1.209812106,-2.710940817,-2.399583516,-0.957128906,-3.356712422,-1.773719916,-1.22306792,-2.996787835,-0.198466468,-0.294874403,0.096407935,-0.741982515,-1.313028957,-2.055011472,0.686263032
Grayson Allen,allengr01,2022,4468,2110,0.443865984,-0.315203568,0.128662416,-0.683337005,1.131215619,0.447878614,0.214310753,-0.069387608,0.144923145,3.122603752,2.866134371,0.256469381,0.021424026,-0.291375224,-0.269951198,0.02209729
Jarrett Allen,allenja01,2022,3667,1809,0.219541365,4.27303115,4.492572515,0.029281485,2.347238248,2.376519732,0.194234674,4.089200453,4.283435127,6.460446752,6.460446752,0,-0.053567577,3.470822716,3.417255139,-0.478712888
Jose Alvarado,alvarjo01,2022,1979,951,0.669902408,3.998352939,4.668255347,-0.147467433,4.407851273,4.26038384,0.529596233,4.34240004,4.871996273,3.6697894,3.610532588,0.059256813,0.487361901,4.026851913,4.514213814,-0.168992756
Justin Anderson,anderju01,2022,658,316,-0.744299213,-4.903935758,-5.648234971,2.48989454,-3.090944474,-0.601049934,-0.109617358,-4.79164106,-4.901258419,-0.350460533,-0.350460533,0,-1.495222557,-4.185541626,-5.680764183,-0.644711995
Kyle Anderson,anderky01,2022,3687,1705,-1.056568867,0.830983654,-0.225585213,-1.85456572,0.279159336,-1.575406385,-1.324155641,0.717769643,-0.606385999,1.876176607,1.6335135,0.242663108,-1.179563489,1.04090998,-0.13865351,0.215638688
Giannis Antetokounmpo,antetgi01,2022,5669,2652,5.516621632,1.997102543,7.513724175,4.350578699,3.880730627,8.231309326,5.587616641,2.479239158,8.066855799,14.97824985,12.00410799,2.974141859,4.894021653,1.960607856,6.854629509,1.646594425
Thanasis Antetokounmpo,antetth01,2022,1053,493,-2.43561779,-0.122636909,-2.558254699,-4.812143123,-2.909139581,-7.721282703,-3.10781245,-0.71903384,-3.82684629,-0.269903005,-0.223418394,-0.046484611,-2.643057921,-0.881603371,-3.524661292,0.119486195
Carmelo Anthony,anthoca01,2022,3850,1793,0.225171218,-2.094629581,-1.869458363,-0.439600752,-0.200591933,-0.640192686,0.124709633,-1.801803438,-1.677093805,0.980577176,0.980577176,0,0.070748349,-2.121462187,-2.050713838,-0.092228445
Cole Anthony,anthoco01,2022,4282,2059,-0.51330566,-2.062585867,-2.575891528,0.912953226,-1.041265472,-0.128312246,-0.123852339,-1.959666521,-2.083518861,0.699164318,0.699164318,0,-1.182540622,-1.431170083,-2.613710705,-0.139307409
OG Anunoby,anunoog01,2022,3910,1945,0.067038561,-0.489464864,-0.422426303,0.537285628,1.240731646,1.778017274,0.155638886,-0.176156146,-0.020517261,2.742999093,2.06140996,0.681589133,0.582731955,0.70950256,1.292234516,-0.141197597
Ryan Arcidiacono,arcidry01,2022,157,76,-2.087109578,6.257549428,4.17043985,-11.51336427,2.266879176,-9.246485097,-4.22319173,5.765752228,1.542560498,0.167122572,0.167122572,0,-4.587868472,3.018326869,-1.569541603,0.407161669
Trevor Ariza,arizatr01,2022,957,462,-4.422755093,-0.366590291,-4.789345384,-1.370261696,-0.883048573,-2.253310269,-4.036059282,-0.464938165,-4.500997447,-0.409241528,-0.409241528,0,-3.622466532,-1.438520669,-5.060987201,-0.845678108
D.J. Augustin,augusdj01,2022,1857,883,-1.422428972,-5.756452275,-7.178881247,-1.60856589,-3.943590618,-5.552156508,-1.517652039,-5.672597529,-7.190249568,-1.992845832,-1.992845832,0,-1.432779457,-6.188098685,-7.620878142,-0.315302741
Deni Avdija,avdijde01,2022,4128,1984,-1.133049281,1.899897197,0.766847916,0.164036648,1.758657353,1.922694001,-0.914535316,2.025555642,1.111020325,3.914351013,3.914351013,0,-1.059733346,1.773328891,0.713595545,0.155678445
Joel Ayayi,ayayijo01,2022,39,20,-5.450988323,0.684428983,-4.76655934,-14.41109243,17.4347155,3.023623069,-7.60343906,4.282426171,-3.321012889,-0.005633401,-0.005633401,0,-7.787770085,-0.826052565,-8.61382265,-3.316163306
Deandre Ayton,aytonde01,2022,4359,2110,-0.952039559,1.79060344,0.838563881,2.986539261,-1.653114774,1.333424487,-0.240288974,1.121058918,0.880769944,3.961705016,2.799981065,1.161723951,-0.483876121,1.125588644,0.641712524,-0.262531456
Udoka Azubuike,azubuud01,2022,410,195,-4.622684742,3.303255614,-1.319429129,-3.804264591,3.198494435,-0.605770156,-4.788555248,3.475116649,-1.313438599,0.142743167,0.142743167,0,-5.132421008,1.483308001,-3.649113007,-0.125169991
Marvin Bagley III,baglema01,2022,2358,1146,-1.430307785,0.009292147,-1.421015638,1.538749124,-1.010613294,0.52813583,-0.851242335,-0.159541217,-1.010783553,1.006485954,1.006485954,0,-1.350735758,-0.598482753,-1.949218511,-0.63341763
LaMelo Ball,ballla01,2022,5191,2422,2.768994226,-0.323825387,2.445168839,1.867909414,-1.891370977,-0.023461564,2.711671293,-0.658378137,2.053293156,6.074391027,6.074391027,0,4.034282679,0.105458443,4.139741122,2.34092642
Lonzo Ball,balllo01,2022,2528,1212,0.464417115,2.525847953,2.990265067,-1.808946603,3.660002631,1.851056028,0.004397522,2.937473605,2.941871127,3.545859532,3.545859532,0,0.891573327,3.252604923,4.14417825,0.744996681
Mo Bamba,bambamo01,2022,3805,1824,-1.79517216,0.908500363,-0.886671797,-3.212977706,-0.985887589,-4.198865295,-2.114574058,0.584924445,-1.529649613,1.136567678,1.136567678,0,-2.459754699,0.740303918,-1.71945078,0.079581275
Desmond Bane,banede01,2022,5673,2694,2.677142763,0.832534671,3.509677434,4.095395285,1.304377189,5.399772475,3.093926907,0.934049805,4.027976712,9.345490071,6.870736157,2.474753914,3.406465049,1.524051486,4.930516536,-0.311268362
Dalano Banton,bantoda01,2022,1467,704,-2.520932196,0.039981235,-2.480950961,-2.60280898,0.861858258,-1.740950722,-2.71176524,0.195254917,-2.516510323,0.082719926,0.072912644,0.009807282,-2.795816539,-0.287237008,-3.083053547,-0.241734259
Cat Barber,barbeca01,2022,29,13,-18.0724718,-1.266589055,-19.33906085,15.49390571,12.21842588,27.7123316,-12.18977971,1.511149342,-10.67863037,-0.05232537,-0.05232537,0,-9.7404826,-3.377100006,-13.11758261,-0.498353648
Harrison Barnes,barneha02,2022,5451,2587,1.189735558,-0.712467039,0.477268519,0.669241076,-5.356892061,-4.687650985,1.178854744,-1.690969928,-0.512115184,2.967496497,2.967496497,0,0.67596571,-2.121708213,-1.445742502,0.465201578
Scottie Barnes,barnesc01,2022,5553,2750,0.757180341,0.951055885,1.708236226,-2.333182878,-0.512679297,-2.845862175,0.144600967,0.690185824,0.834786791,5.022354503,4.637327677,0.385026826,0.32428039,2.070449172,2.394729562,-0.489533561
RJ Barrett,barrerj01,2022,4924,2417,-0.323971125,-0.569080575,-0.8930517,-2.017178728,-1.997850073,-4.015028801,-0.656354941,-0.922672889,-1.57902783,1.453869686,1.453869686,0,-0.499147599,-0.716531632,-1.215679231,0.684330758
